大类 ID,大类名称，英文名称，细分情绪，细分英文，定义描述，历史典故，红楼梦案例，西游记案例，水浒传案例，三国演义案例
joy,【喜】欢愉与希望，Joy & Hope,欣喜，Delight,意外的微小快乐，杜甫《闻官军收河南河北》,刘姥姥进大观园，悟空得知弼马温是个官职，梁山泊好汉初聚义，刘备得遇孔明
joy,【喜】欢愉与希望，Joy & Hope,狂喜，Ecstasy,极度的、难以自持的快乐，范进中举，宝玉失玉复得，师徒四人取得真经，智取生辰纲成功，曹操大胜袁绍
joy,【喜】欢愉与希望，Joy & Hope,欣慰，Gratification,付出后得到回报的满足，孔子赞颜回，贾政见宝玉作诗，观音见悟空改邪归正，宋江见众兄弟归心，刘备托孤见刘禅
joy,【喜】欢愉与希望，Joy & Hope,庆幸，Relief,躲过灾祸后的喜悦，完璧归赵，巧姐遇救，唐僧躲过妖怪第一劫，林冲风雪山神庙幸存，赵云长坂坡救阿斗
joy,【喜】欢愉与希望，Joy & Hope,自豪，Pride,因成就而产生的光荣感，霍去病封狼居胥，元春省亲，悟空大闹天宫自称齐天大圣，武松打虎后受赏，关羽水淹七军
joy,【喜】欢愉与希望，Joy & Hope,陶醉，Enchantment,沉浸于美好境界的忘我之乐，王羲之《兰亭集序》,湘云醉卧芍药裀，八戒在高老庄，鲁智深倒拔垂杨柳后饮酒，曹操横槊赋诗
joy,【喜】欢愉与希望，Joy & Hope,雀跃，Exuberance,活泼外放的兴奋，《诗经·子衿》,宝钗扑蝶，悟空学成归来，李逵初见宋江，曹植七步成诗前
joy,【喜】欢愉与希望，Joy & Hope,知足，Contentment,内心平静、无欲则安，陶渊明《归去来兮辞》,李纨守寡，沙僧流沙河悟道，公孙胜修道，诸葛亮躬耕南阳
joy,【喜】欢愉与希望，Joy & Hope,期待，Anticipation,对未来美好事物的向往，陆游《游山西村》,黛玉进府，唐僧出发取经，林冲发配前盼回家，三顾茅庐前
joy,【喜】欢愉与希望，Joy & Hope,释然，Liberation,放下包袱后的轻松愉悦，苏轼《定风波》,宝玉出家，悟空成佛，燕青隐退，姜维最后一搏前的解脱
anger,【怒】愤慨与力量，Anger & Indignation,愤怒，Anger,通用的生气状态，唐雎不辱使命，宝玉踢袭人，悟空三打白骨精被误解，鲁提辖拳打镇关西，张飞怒鞭督邮
anger,【怒】愤慨与力量，Anger & Indignation,暴怒，Rage,失去理智的极端爆发，秦始皇焚书坑儒，贾政毒打宝玉，悟空推倒人参果树，李逵沂岭杀四虎，曹操杀吕伯奢全家
anger,【怒】愤慨与力量，Anger & Indignation,愤慨，Indignation,针对不公义的道德性愤怒，岳飞《满江红》,晴雯被逐，悟空怒斥神仙纵奴，林冲火并王伦，祢衡击鼓骂曹
anger,【怒】愤慨与力量，Anger & Indignation,恼火，Annoyance,轻微的、因琐事引起的不快，《世说新语》,黛玉恼周瑞家的，唐僧恼悟空杀人，杨志恼卖刀牛二，周瑜恼孔明借箭
anger,【怒】愤慨与力量，Anger & Indignation,嫉恨，Jealous Rage,因嫉妒而生的怒火，周瑜既生瑜何生亮，赵姨娘害宝玉，六耳猕猴嫉恨悟空，王伦嫉恨林冲，庞德嫉恨关羽
anger,【怒】愤慨与力量，Anger & Indignation,震怒，Fury,上位者的雷霆之怒，武则天清洗，贾母震怒，玉帝怒派天兵，高俅怒逼王进，孙权怒摔酒杯
anger,【怒】愤慨与力量，Anger & Indignation,悲愤，Grief-anger,悲伤与愤怒交织，伍子胥鞭尸，黛玉焚稿，悟空见师父被抓，林冲雪夜上梁山，诸葛亮哭周瑜
anger,【怒】愤慨与力量，Anger & Indignation,愠怒，Resentment,压抑在心中未爆发的怒气，韩信受胯下之辱，探春对赵姨娘，白龙马忍辱负重，杨志失陷生辰纲，徐庶进曹营
anger,【怒】愤慨与力量，Anger & Indignation,狂躁，Irritation,焦躁不安引发的攻击性，张飞醉酒，夏金桂撒泼，八戒嚷嚷分行李，阎婆惜要挟宋江，魏延狂躁反骨
anger,【怒】愤慨与力量，Anger & Indignation,决绝之怒，Righteous Wrath,带有牺牲精神的愤怒，蔺相如怒发冲冠，鸳鸯抗婚，悟空誓死护师，阮氏三雄劫生辰纲，黄盖苦肉计
sorrow,【哀】悲痛与失落，Sorrow & Grief,悲伤，Sadness,基础的难过情绪，孔子获麟，黛玉葬花，唐僧思念母亲，林冲娘子自缢，徐庶别母
